,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
159,160,NCT01385904,Neuropathic Pain.,Blood Levels of Ketamine in Patients Using Topical Application of 10% Ketamine Gel for Neuropathic Pain,,Canada,June 2011,December 2011,Canada
160,161,NCT00869687,Healthy Volunteers,Biopsy Study for Sculptra (Poly-L-Lactic Acid),Device,Canada,March 2009,May 2010,Canada
161,162,NCT01259271,Healthy|Pain,Selective Nerve Stimulation (SNS) Pilot Study,Device,United States,"November 1, 2010","February 1, 2011",United States
162,163,NCT03731195,Pleasant Touch|Cortical Response,GentleTouch (Study to Evaluate Somatosensory Evoked Potential (SSEP) Responses to Affective Touch and How it Develops in Healthy Term Babies),,Ireland|United Kingdom,"May 9, 2018",December 2020,Ireland
163,164,NCT04110210,Erector Spinae Plane Block,Effectiveness of Bilateral Ultrasound-Guided Erector Spinae Plane Block,Drug,Egypt,"September 8, 2019","July 10, 2020",Egypt
164,165,NCT04611048,Small Fiber Neuropathy,Establishing Normative Values for Thermal Detection and Pain Threshold Established by the Psi Method,Diagnostic Test,Belgium,"October 31, 2020","January 1, 2023",Belgium
165,166,NCT00767104,Acne Vulgaris,Efficacy of Silk - Like Bedding Fabric Pillow Case in the Treatment of Acne Vulgaris,Other,,October 2008,March 2009,
166,167,NCT03569254,"Jaundice, Neonatal|Phototherapy","Effectiveness, Safety and Perceptions With the Use of One LED Blanket Device in the Ambulatory Treatment of Jaundice",Device,Colombia,"March 1, 2016","October 5, 2017",Colombia
167,168,NCT02989896,Perfusion Index|Peripheral Nerve Block Success,Perfusion Index in the Success of Peripheral Nerve Block,Device,,December 2016,September 2017,
168,169,NCT03673449,Peripheral Nerve Injury Digital Nerve Hand,Evaluate the Reconstruction of Digital Nerve Defects in Humans Using an Implanted Silk Nerve Guide,Device,Switzerland,"March 22, 2019",March 2021,Switzerland
169,170,NCT03983525,Macular Pigment Optical Density,The Effect of Gojiberry Intake (Lycium Barbarium) on Macular Function,Dietary Supplement,United States,"June 10, 2019","June 15, 2020",United States
170,171,NCT04015063,Skin Aging,Efficacy and Safety of Skin Care Product in Aging Facial Skin,Other,Taiwan,"March 4, 2019","December 13, 2019",Taiwan
171,172,NCT02441504,"Diabetes Mellitus, Type 1",Effects of Low Intensity Aerobic Exercise on the Microvascular Endothelial Function of Patients With Type 1 Diabetes,Other,,January 2014,October 2014,
172,173,NCT04888520,Muscle Strength,Strength and Muscle Activation of Runners Quadriceps After 8 Weeks of Intervention With Elastic Bandage,Device,,"June 1, 2021","September 15, 2021",
173,174,NCT00745199,End Stage Renal Disease|Pruritus,Evaluating the Effect of Cromolyn Sodium in Uremic Pruritus,Drug,"Iran, Islamic Republic of",May 2008,June 2009,"Iran, Islamic Republic of"
174,175,NCT03767400,Skin Care,"Dynamic Optical Coherence Tomography(D-OCT) Aging Study: A Preliminary Evaluation of Structural Differences Between Young and Aged Skin, Cellulite and Atrophic Acne Scars in Female Caucasian Subjects With Fitzpatrick Skin Types I-III Utilizing Non-invasive in Vivo D-OCT.",Device,United States,"December 7, 2018","July 30, 2019",United States
175,176,NCT00555113,Pseudoxanthoma Elasticum,Evolution of Visual Impairment During Pseudoxanthoma Elasticum,,France,January 2000,September 2007,France
176,177,NCT03146247,Moderate to Severe Plaque Psoriasis,Analysis of the Pathogenesis of Itch in Response to Apremilast Therapy in Psoriasis Patients,Drug,Germany,"October 23, 2017","March 1, 2019",Germany
177,178,NCT04001361,Knee Osteoarthritis,Laser Cell Therapy for Knee Cartilage Repair,Procedure,United States,"July 15, 2019","December 31, 2020",United States
178,179,NCT01872091,Healthy Individuals,"Analysis of Neuromuscular, Circulatory and Biomechanical Responses After Cryotherapy",Other,Brazil,May 2013,December 2017,Brazil
179,180,NCT01677611,Type 2 Diabetes,Effects of Resveratrol in Patients With Type 2 Diabetes,Drug,Singapore,December 2008,March 2012,Singapore
180,181,NCT00004316,Interstitial Cystitis|Vulvar Diseases,"Phase I/II Randomized, Placebo-Controlled Study of Capsaicin for Interstitial Cystitis and Vulvar Vestibulitis",Drug,,June 1995,,
181,182,NCT04637841,Diabetes Mellitus|Plantar Fascia,Comparasion of the Immediate Effect of Myofascial Relaxation Technique and Kinesiology Taping,Other,,"March 1, 2021","June 1, 2021",
182,183,NCT04169477,Neuropathic Pain|Radiculopathy,Comparison of Two Modes of Transcutaneous Electrical Nerve Stimulation (TENS) in Chronic Neuropathic Radiculalgia,Device,France|France|France|France,"October 8, 2019",October 2021,France
183,184,NCT04884347,Hair Loss,Evaluation of the Efficacy of a Food Supplement in Reducing Hair Loss in Male Subjects,Dietary Supplement,Italy,"August 31, 2020","February 4, 2021",Italy
184,185,NCT03928093,"Pain, Neuropathic|Itch|Epidermolysis Bullosa",Pregabalin Treatment for RDEB Pain and Itch,Drug,Canada,"August 7, 2019","June 30, 2023",Canada
185,186,NCT04324749,Microbiota|Cognitive Change,Healthy Prebiotic and Postbiotic Effects of Peanuts and Peanut Butter: College Intervention Trial,Other,Spain,"November 18, 2019","June 30, 2020",Spain
186,187,NCT04639336,Pompe Disease,Cognitive and Neurological Pathologies in Pompe Disease,,United States,"August 3, 2016",August 2022,United States
187,188,NCT01918111,Resistant Hypertension,"Effects of REnal Denervation for Resistant Hypertension on Exercise Diastolic Function and Regression of Atherosclerosis and the Evaluation of NEW Methods Predicting A successfuL Renal Sympathetic Denervation (RENEWAL-EXERCISE, -REGRESS, and -PREDICT Trial From RENEWAL RDN Registry)",Procedure,"Korea, Republic of",August 2013,"May 27, 2016","Korea, Republic of"
188,189,NCT03065283,Healthy Individuals,Effects of Diaphragm-releasing Techniques on the Lumbar Spine and Diaphragmatic Function in Healthy Women,Procedure,,October 2015,March 2016,
189,190,NCT03303040,Mechanical Ventilation Complication|Diaphragm Injury,Effect of Diaphragm Stimulation During Surgery,Other,United States,"February 14, 2018","May 31, 2022",United States
190,191,NCT03674541,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome|Chronic Fatigue Syndrome|Myalgic Encephalomyelitis|Exercise Intolerance|Dysautonomia|Low Ventricular Filling Pressures (Preload Failure)|Postural Orthostatic Tachycardia Syndrome|Orthostatic Hypotension|Fibromyalgia,The Exercise Response to Pharmacologic Cholinergic Stimulation in Myalgic Encephalomyelitis / Chronic Fatigue Syndrome,Drug,United States,"January 14, 2020","June 1, 2021",United States
191,192,NCT04773561,"Twin Pregnancy, Antepartum Condition or Complication|Retinal Vascular|Choroidal Effusion",Comparison of Posterior Ocular Changes Between Singleton Pregnancy and Multifetal Pregnancy.,Device,Thailand,"September 3, 2021","June 30, 2024",Thailand
192,193,NCT01605968,Surgical Wound,A Comparative Efficacy and Safety Study Between Two Silver Containing Dressings In Post-Op Wound Healing,Device,Taiwan,June 2012,January 2014,Taiwan
193,194,NCT01692106,Achalasia,A Clinical Study of Per Oral Endoscopic Myotomy (POEM) in Patients Suffering From Achalasia,Procedure,Canada,November 2012,December 2014,Canada
194,195,NCT02521519,"Low Back Pain, Mechanical",Short Terms Effects of Medial Branch Block vs Para-spinal Muscle Injection in Patients With Non-specific CLBP,Other,Canada,August 2014,June 2020,Canada
195,196,NCT03300635,Fibromyalgia,"Metabolism, Muscle Function and Psychological Factors in Fibromyalgia",Other,Finland,"September 5, 2015","April 10, 2019",Finland
196,197,NCT03530150,Second-degree Burn,Pirfenidone and Its Role in Burn Wound Healing,Drug,,"January 1, 2017","June 22, 2017",
197,198,NCT01544738,Parkinson Disease,Sensory Stimulation Effect on Movement Speed in Patients With Parkinson Disease,Other,Belgium,November 2008,,Belgium
198,199,NCT03929367,Chronic Pain,PK Sampling After IV Oxytocin and Effects on Sensory Function in Healthy Volunteers,Drug,United States,"May 10, 2019","March 1, 2020",United States
199,200,NCT02810015,Temporo-Myofascial Disorder,Treatment of Temporo-Myofascial Disorder of Muscular Origin Using Botulinum Toxin: A Prospective Study,Drug,,July 2016,June 2019,
200,201,NCT03483064,Lower Back,Interferential Current in Lower Back,Other,Spain,"May 7, 2018","May 30, 2018",Spain
201,202,NCT00355277,Healthy Volunteers,Local Anaesthetic Effects of Transcutaneous Amitriptyline,Drug,France,November 2005,December 2007,France
202,203,NCT00435682,Healthy,To Study the Peripheral Effect of Botulinum Toxin-A (Botox-A) on Experimentally Induced Cutaneous Pain in Healthy Subjects,Drug,Denmark,March 2007,January 2008,Denmark
203,204,NCT00744939,Fibrosis|Kidney Failure|Renal Insufficiency,Risk of Nephrogenic Systemic Fibrosis (NSF) in Patients With Moderate Renal Insufficiency After the Administration of Magnevist,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,November 2008,November 2013,United States
204,205,NCT03807986,Treatments of Striae Distensae,The Combination Therapy of Nanofat Grafting and PRP Compared With Microfat Grafting and PRP Synergy in Treating Striae Distensae,Procedure,China,"February 1, 2019","December 31, 2020",China
205,206,NCT03761992,Normal Tension Glaucoma,Measurement of the Effect of Gingko Biloba Extract on Ocular and Nailfold Blood-flow in NTG,Dietary Supplement,United States,"November 19, 2018",December 2020,United States
206,207,NCT00618514,Varicose Veins,The BRILLIANT Study,Device,United States|United States|United States|United States|United States|United States|United States,June 2008,August 2009,United States
207,208,NCT04989361,Wrinkle,Soluble Hyaluronic Acid Microneedle VS. Non-ablative Fractional Laser on Infraorbital Wrinkles.,Procedure,,"September 1, 2021","July 1, 2023",
208,209,NCT00482976,Diabetes Mellitus,Effect of LY333531 on Vascular and Neural Functions,Drug,United States,December 2003,March 2005,United States
209,210,NCT03241134,"Neck Pain, Posterior|Work-Related Condition",Changes in Surface EMG Activity After Dry Needling Compared to Sham Needling,Other,Belgium,"August 28, 2017","May 9, 2018",Belgium
210,211,NCT04725825,"Neck Pain, Posterior|Trapezius Muscle Strain",Central Pain Modulatory Effects of Dry-Needling in Patients With Non-Specific Neck Pain,Other,Belgium,"September 1, 2020","December 30, 2022",Belgium
211,212,NCT03713203,"Paget Disease of the Vulva|Paget Disease, Extramammary",PAGETEX® Photodynamic Therapy Device for the Treatment of Extra Mammary Paget's Disease of the Vulva (EMPV).,Device,France,"August 27, 2019",August 2021,France
212,213,NCT00628602,Pressure Ulcer,BION Active Seating for Pressure Ulcer Prevention,Device,United States,November 2007,December 2008,United States
213,214,NCT04297215,Atopic Dermatitis,The Effectiveness of Antibacterial Therapeutic Clothing Based on Silver or Chitosan as Compared With Non-antibacterial Therapeutic Clothing in Patients With Moderate to Severe Atopic Dermatitis,Device,Netherlands,"March 17, 2020","January 1, 2023",Netherlands
214,215,NCT02974959,Traumatic Brain Injury|Acute Brain Injuries,Vagus Nerve Stimulation to Treat Moderate Traumatic Brain Injury,Device,United States,October 2016,November 2020,United States
215,216,NCT01663285,Urothelial Cancer|Bladder Cancer,Clinical Trial Of Neoadjuvant Chemotherapy (NAC)In Upper Tract Urothelial Carcinoma (UTUC),Drug,United States|United States|United States,September 2012,January 2014,United States
216,217,NCT03190447,Occlusive Dressings|Nursing|Knee Surgery|Hip Surgery,Wich is the Best Dressing in Wounds by Primary Surgery of THA and / or TKA?,Device,Spain,"April 20, 2017","December 31, 2019",Spain
217,218,NCT00003098,Breast Cancer,Diet and Estrogen Metabolism in Postmenopausal Women,Other,United States,August 1997,June 2004,United States
218,219,NCT04461093,Palonosetron,"Comparison of the Efficacy of Acupressure P6 Point, Dexamethasone and Ondansetron Versus Palonosetron Monotherapy for Preventing Postoperative Nausea and Vomiting in Laparoscopic Surgery",Other,Malaysia|Malaysia,"July 6, 2020","November 1, 2021",Malaysia
219,220,NCT02356978,Crigler Najjar Syndrome|Children,New Phototherapy Device to Treat Patients With Crigler-Najjar Disease,Device,France,December 2014,December 2017,France
220,221,NCT02838719,INFERTILITY,Analgesic Efficacy of Dexamethasone in Different Routes of Administration in Transverse Abdominis Plane Block,Drug,,December 2014,December 2015,
221,222,NCT02496351,Phantom Limb Pain|Peripheral Vascular Diseases,TENS for Phantom Limb Pain Prevention Following Major Amputation,Device,Spain,May 2015,March 2017,Spain
222,223,NCT02672059,Diabetic Neuropathy|Neuropathic Pain|Chronic Pain|Carpal Tunnel Syndrome|Peripheral Neuropathies,Pain In Neuropathy Study,Other,United Kingdom,February 2011,,United Kingdom
223,224,NCT03139435,Peripheral Neuropathy|Stage 0 Breast Cancer|Stage I Breast Cancer|Stage IA Breast Cancer|Stage IB Breast Cancer|Stage II Breast Cancer|Stage IIA Breast Cancer|Stage IIB Breast Cancer|Stage III Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer,Ultrasound in Detecting Taxane-Induced Neuropathy in Patients With Breast Cancer,Procedure,United States,"May 11, 2017","January 11, 2019",United States
224,225,NCT00397748,Volunteer|Attention Deficit Hyperactivity Disorder,PET Scanning of Adults With Attention Deficit Hyperactivity Disorder (ADHD),,United States,"September 15, 2006","November 27, 2012",United States
225,226,NCT03937778,Normal Physiology,Sensory Afferents for Deep Pressure Sensation,Behavioral,United States,"June 20, 2019","November 17, 2020",United States
226,227,NCT03888586,"Subacromial Impingement Syndrome|Trigger Point Pain, Myofascial",Comparison of Dry Needling and Deep Friction Massage in Patients With Subacromial Pain Syndrome,Device,Turkey,"October 2, 2017","October 10, 2018",Turkey
227,228,NCT03810677,Varicose Veins,Treatment of Varicose Veins With the ELVeS® Radial® 2ring Slim Fiber. Are There Limitations?,Device,Belgium|Belgium,"April 15, 2019","March 8, 2021",Belgium
228,229,NCT04732234,Analgesia,Pre-emptive US Guided Superior Hypogastric Plexus Block in Pelvic Cancer Surgeries : a Randomized Double-Blinded Study,Procedure,Egypt,"December 1, 2020",May 2021,Egypt
229,230,NCT03935048,Metabolic Syndrome,Diet and Health in Adults With Metabolic Syndrome,Dietary Supplement,United States|United States,"June 1, 2019","May 30, 2023",United States
230,231,NCT04634942,Healthy,A Comparison of Two Different Methods to Reduce Intramusculer Injection Pain,Device,Turkey,"February 25, 2010","August 15, 2020",Turkey
231,232,NCT02156050,Neonatal Hyperbilirubinemia,Use of a New Phototherapy Device (BBloo®) for the Treatment of Hyperbilirubinemia in the Newborn Infant,Device,France|France,December 2013,December 2015,France
232,233,NCT04065984,Rectal Cancer|Colorectal Cancer|Colon Cancer|Colo-rectal Cancer|Sarcopenia|Sarcopenic Obesity|Advanced Cancer|Recurrent Rectal Cancer,Body Composition Manipulation in CoLorectal cancEr (BiCyCLE): Neuromuscular Electrical Stimulation (NMES),Device,United Kingdom,"April 14, 2019","March 1, 2026",United Kingdom
233,234,NCT04839523,Partial-thickness Burn,Performance and Safety of Exufiber Ag+ and Exufiber on Partial Thickness Burns,Device,United States,"March 10, 2021","December 31, 2021",United States
234,235,NCT04018924,"Leg Ulcers Venous|Dehiscence, Surgical Wound",Blu Light for Ulcers Reduction,Device,Italy|Italy|Italy|Italy|Italy|Italy|Italy,"April 4, 2018","December 22, 2019",Italy
235,236,NCT02527551,Fibromyalgia,Efficacy of Deep Haptic Massage in Fibromyalgia : Preliminary Study,Other,France,November 2015,November 2017,France
236,237,NCT02218866,Peripheral Neuropathy|Obesity,The Effect of Bariatric Surgery on Peripheral Nerve Function and Axonal Regeneration,,United States,January 2012,"December 31, 2017",United States
237,238,NCT03155646,Transversus Abdominis Plane Block,Dexmedetomidine Versus Clonidine in TAP Block,Drug,Egypt,"June 10, 2017","August 1, 2019",Egypt
238,239,NCT04496193,Analgesia|Motor Activity,The Effects of Adding Dexamethasone in the Quadratus Lumborum Block,Procedure,,"July 31, 2020","December 31, 2022",
239,240,NCT02088996,Chemotherapy Induced Peripheral Neuropathy (CIPN),Electrical Stimulation and Chemotherapy Induced Peripheral Neuropathy,Device,Sweden,March 2011,December 2015,Sweden
240,241,NCT04753528,Chronic Low-back Pain,Personalized Auricular Vagus Nerve Stimulation in Intractable Chronic Low Back Pain,Device,Austria|Switzerland,"April 13, 2021",March 2022,Austria
241,242,NCT00030212,Sporadic|Inclusion Body|Myositis,Immune Abnormalities in Sporadic Inclusion Body Myositis,,United States|United States,"February 4, 2002","December 10, 2007",United States
242,243,NCT04837495,"Arrythmia|Pain, Acute",Stellate Ganglion Block in Control of Arrhythmia in Laparoscopic Cholecystectomy,Procedure,Egypt,"April 30, 2021","February 25, 2022",Egypt
243,244,NCT00710398,Overweight|Obesity,"""Improving Diet, Exercise And Lifestyle (IDEAL) for Women"" Study",Behavioral,Canada,July 2008,January 2011,Canada
244,245,NCT01217515,Chronic Anal Fissure,Diltiazem Hydrochloride Cream for Anal Fissure,Drug,Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Germany|Germany|Germany|Germany|Germany|Lithuania|Lithuania|Lithuania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Spain|United Kingdom|United Kingdom,October 2010,May 2012,Bulgaria
245,246,NCT04103112,Deep Vein Thrombosis|Deep Vein Thrombosis Leg|Post Thrombotic Syndrome,Compression Hosiery to Avoid Post-Thrombotic Syndrome,Device,United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,"March 5, 2020","January 31, 2023",United Kingdom
246,247,NCT01541436,Pain,Remote Ischemic Preconditioning Mechanism Study,Device,United States,March 2012,"April 30, 2017",United States
247,248,NCT03048331,Spinal Cord Injury Cervical,Functional Electrical Stimulation (FES) and Reconstructive Tetraplegia Hand and Arm Surgery,Device,Switzerland,"March 1, 2017",December 2023,Switzerland
248,249,NCT03205124,Peripheral Nerve Injuries|Sensory Deficit|Digital Nerve Lesion,The Effect of Pre-operative Electrical Stimulation on Peripheral Nerve Regeneration.,Procedure,Canada|Canada,"October 1, 2017","July 1, 2019",Canada
249,250,NCT04760483,"Male Urogenital Diseases|Genital Diseases, Male|Prostatic Disease|Prostatic Hyperplasia",Office Based Transperineal Laser Ablation for Benign Prostatic Hyperplasia HYPERPLASIA,Device,United States,"November 20, 2020","November 20, 2022",United States
250,251,NCT00176995,Pseudofolliculitis Barbae,Effect of 15% Eflornithine Hydrochloride Cream on African-American Males With Pseudofolliculitis Barbae,Drug,United States,March 1999,October 2000,United States
251,252,NCT04628416,Carcinomatous Resections|Violent Trauma,Evaluation of the PICO® Negative Pressure Dressing System on the Fibula Free Flap Donor Site's Skin Graft.,Device,France,"January 18, 2021",December 2024,France
252,253,NCT04038645,Nasal Fracture,Evaluation of Photobiomodulation on Nasal Fractures,Other,,"December 1, 2019","October 15, 2020",
253,254,NCT03313297,"Diabetes Mellitus, Type 2",Glucocorticoids and Skin Healing in Diabetes (GC-SHealD),Drug,United Kingdom,"April 10, 2018","March 13, 2019",United Kingdom
254,255,NCT04586517,Breast Cancer Female,Effect of Heavy-load Resistance Training During Chemotherapy on Muscle Cellular Outcomes,Other,Sweden,"December 5, 2018","January 1, 2023",Sweden
255,256,NCT04685213,Covid19|Pain|Muscle Atrophy,Electrical Stimulation for Critically Ill Covid-19 Patients,Device,United States,"August 18, 2020","August 18, 2021",United States
256,257,NCT04849429,Chronic Low Back Pain|Degenerative Disc Disease,Intra-discal Injection of Platelet-rich Plasma (PRP) Enriched With Exosomes in Chronic Low Back Pain,Biological,India|India,"April 15, 2021","March 15, 2022",India
257,258,NCT04091958,Breast Cancer,Reconstruction of Partial Mastectomy Defects With Pectoralis Myo-glandular Local Flap.,Procedure,Egypt,"August 24, 2019","February 28, 2022",Egypt
258,259,NCT02739620,Breast Cancer,Alternative Exercise Program to Improve Skeletal Muscle Function and Fatigue in Cancer Survivors,Device,United States,April 2016,March 2019,United States
259,260,NCT04786340,Painful Diabetic Neuropathy|Diabetes Mellitus,A 12-Week Study of Topical Pirenzepine or Placebo in Type 2 Diabetic Patients (T2DM) With Painful Peripheral Neuropathy,Drug,United States,"November 20, 2020","May 14, 2022",United States
260,261,NCT02818634,Nasal Deformity|Revision Rhinoplasty|Autogenous Rib Graft|Costal Cartilage|Harvesting,Effect of Costal Harvesting Technique on Postoperative Donor-site Morbidity: Does Muscle Sparing Technique Cause Less Postoperative Pain ? A Clinical Trial,Procedure,Turkey,February 2016,August 2016,Turkey
261,262,NCT05008744,Twin to Twin Transfusion as Antepartum Condition|Monochorionic Diamniotic Placenta,Laser Photocoagulation of Communicating Vessels in Twin-to-Twin Transfusion Syndrome,Procedure,United States|United States,"October 1, 2021","October 1, 2031",United States
262,263,NCT03440099,Biological Aging,Sex-specific Adaptation to Resistance Training in Older Adults,Other,United States,"January 1, 2018","March 31, 2022",United States
263,264,NCT00791492,Familial Amyloid Polyneuropathy|ATTR-PN,An Extension of Study Fx-005 Evaluating Long-Term Safety And Clinical Outcomes Of Fx-1006A In Patients With Transthyretin Amyloid Polyneuropathy,Drug,Argentina|Argentina|Brazil|France|Germany|Portugal|Portugal|Portugal|Portugal|Sweden|Sweden,July 2008,October 2010,Argentina
264,265,NCT02046967,Varicose Veins|Varicose Veins of Leg With Long Saphenous Vein Distribution,Steam Ablation Versus Endovenous Laser Ablation for the Treatment of Great Saphenous Veins,Procedure,Netherlands,November 2009,March 2013,Netherlands
265,266,NCT04709419,Diabetic Foot Ulcer,Celliant Socks to Increase Tissue Oxygenation and Complete Wound Closure in Diabetic Foot Wounds,Device,United States,"September 1, 2021",August 2024,United States
266,267,NCT03063684,Vaginal Atrophy|Lichen Sclerosus,Fractional / Pixel CO2 Laser Treatment of Vulvar Atrophy and Lichen Sclerosus,Device,Israel,"September 1, 2017","April 28, 2019",Israel
267,268,NCT04967118,"Pain, Acute|Procedural Pain|Infant",Neonatal Pain Management and Pain Monitoring Using New Methods,Behavioral,,"August 30, 2021","December 31, 2022",
268,269,NCT01236573,Skin Cancer|Metastatic Melanoma,Cell Therapy for Metastatic Melanoma Using CD8 Enriched Tumor Infiltrating Lymphocytes,Drug,United States,October 2010,March 2015,United States
269,270,NCT02837822,Chronic Pain|Complex Regional Pain Syndrome|Failed Back Surgery Syndrome,Effects of Spinal Cord Stimulation on Sensory Perceptions of Chronic Pain Patients,Device,United States|Canada,October 2015,May 2018,United States
270,271,NCT04918784,Diabetic Foot Ulcer,Comparing Synthetic Hybrid-Scale Fiber Matrix With Standard of Care in Treating Diabetic Foot Ulcers,Device,United States,"May 5, 2021","May 15, 2022",United States
271,272,NCT02034266,Type 1 Diabetes,The Effect of Omega-3 Supplementation on Nerve Structure and Function in Type 1 Diabetes,Dietary Supplement,Canada,January 2014,August 2016,Canada
272,273,NCT03795116,Fibrosis|Skin Scarring|Skin Wound|Hypertrophic Scar|Scar|Keloid,Light Emitting Diode-Red Light (LED-RL) Phototherapy for Skin Scarring Prevention,Device,United States,"March 18, 2019",May 2021,United States
273,274,NCT05042492,"Osteoarthritis, Knee|Edema Leg|Joint Diseases|Rehabilitation",The Post-operative Effect on Formation of Oedema After Total Knee Arthroplasty With or Without the Use of a Nerve Stimulator (the gekoTM Device),Device,Belgium,"January 14, 2021",March 2022,Belgium
274,275,NCT03433664,Burns Scarring,Carbon Dioxide Laser Treatment in Burn-related Scarring,Device,,"February 20, 2014","July 16, 2015",
275,276,NCT02885194,Parkinson Disease,Impact of Subthalamic Nucleus Deep Brain Stimulation on Pain in Parkinson Disease,Other,France,January 2015,May 2016,France
276,277,NCT02045082,Herpes Simplex Keratitis,The Flocked Swab and the Traditional Fiber Swab for the Diagnosis of the Herpes Simplex Epithelial Keratitis,Procedure,Canada,October 2013,October 2015,Canada
277,278,NCT02576769,Basal Cell Carcinoma,The Role of Melanocyte in Basal Cell Carcinoma,Other,Mexico,November 2015,December 2016,Mexico
278,279,NCT01555567,Anterior Cruciate Ligament Injury,Electrical Stimulation and Eccentric Exercise for Anterior Cruciate Ligament (ACL) Injury,Device,United States,August 2009,July 2014,United States
279,280,NCT04172922,Vascular Anomaly,Topical Rapamycin/Sirolimus for Complicated Vascular Anomalies and Other Susceptible Lesions,Drug,,"December 1, 2019","January 31, 2021",
280,281,NCT02921750,Venous Leg Ulcer,Investigation to Evaluate the Efficacy and Safety of Exufiber Versus Aquacel Extra in Moderately or Strongly Exuding Venous and Mixed Ulcers of Predominantly Venous Origin,Device,Czechia|Czechia|Czechia|Czechia|Czechia|Czechia|Czechia|Denmark|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Poland|Poland|Poland|Poland|Sweden|Sweden|Sweden|Sweden|Sweden,October 2016,"November 27, 2019",Czechia
281,282,NCT02019446,"Diabetes Mellitus, Type 2|Onychomycosis",Laser Treatment for Onychomycosis in Diabetes,Device,Canada,July 2018,December 2021,Canada
282,283,NCT04953416,Alopecia,Fractional Non-ablative Laser for the Treatment of Hair Loss,Device,Ukraine,"September 8, 2020",March 2022,Ukraine
283,284,NCT04900857,"Myofascial Pain Syndrome|Trigger Point Pain, Myofascial",Comparison of Vibration and Dry Needle in Trigger Point Therapy,Other,Turkey,"December 7, 2020","February 25, 2021",Turkey
284,285,NCT02780531,Neurological Disorders|Neuromuscular Disorders,Genetic and Blood Biomarkers in Neurological and Neuromuscular Diseases,,United States,December 2015,"October 17, 2018",United States
285,286,NCT04751045,Chronic Liver Disease,Comparison and Outcomes of Endoscopic Ultrasound Liver Biopsies Versus Percutaneous Liver Biopsies,Procedure,United States,"October 25, 2020","October 15, 2021",United States
286,287,NCT03570775,"Phototherapy|Jaundice, Neonatal","Effectiveness, Safety and Perceptions With the Use of One LED Sleeping Bag Device in the Treatment of Neonatal Jaundice",Device,Colombia,"March 1, 2016","October 5, 2017",Colombia
287,288,NCT03062722,Carpal Tunnel Syndrome|Entrapment Neuropathy,Efficacy of Keyhole Approach to Carpal Tunnel Syndrome Under Ambulatory Strategy,Procedure,,"January 1, 2015","July 1, 2016",
288,289,NCT04037202,Postpartum Disorder|Massage,Effect of Foot Massage on Postpartum Comfort and Pain Level of the Mothers Who Had Vaginal Birth,Other,Turkey,"July 3, 2017","September 1, 2017",Turkey
289,290,NCT02169700,Neck Pain,Ischemic Compression on Post-needling Soreness,Procedure,Spain,December 2013,May 2014,Spain
290,291,NCT03511456,"Neuralgia, Sciatic",An Effect and Safety Observation on PELD Technique for Extraforaminal Disc Herniation at L5/S1,Procedure,China,"March 5, 2016","March 5, 2022",China
291,292,NCT03538626,HIV Antibodies,"VRC 609 Study: A Phase I, Open-Label, Dose-Escalation Study of the Safety and Pharmacokinetics of a Human Monoclonal Antibody, VRC-HIVMAB091-00-AB (N6LS), Administered Intravenously or Subcutaneously With or Without Recombinant Human Hyaluronidase PH...",Biological,United States,"June 21, 2018","December 31, 2021",United States
292,293,NCT04522258,Emotions|Stress|Fear,Effects of Dietary Fiber on Affective Processes,Dietary Supplement,Belgium,"May 2, 2019","November 8, 2020",Belgium
293,294,NCT04005287,"Peripheral Neuropathy|Painful Diabetic Neuropathy|Diabetic Neuropathies, Painful",A 24-Week Study of Topical Pirenzepine or Placebo in Type 2 Diabetic Patients (T2DM) With Peripheral Neuropathy,Drug,Canada|Canada|Canada|Canada|Canada,"October 15, 2019","January 28, 2022",Canada
294,295,NCT04145999,Wrinkle,Association of Photobiomodulation With Platelet Rich Plasma Intradermal Injection for Facial Rejuvenation,Procedure,,"January 10, 2020","December 10, 2021",
295,296,NCT02416531,Vulvar Lichen Sclerosus,"Vulvar Lichen Sclerosus: Comparison Between Clobetasol Propionate, Photodynamic Therapy and Low-Intensity Laser",Drug,Brazil,January 2015,October 2017,Brazil
296,297,NCT00671333,Joint Disease,PRCT: Ligament Reconstruction & Tendon Interposition With a Joint Spacer for Trapeziometacarpal OA,Procedure,Canada|Canada,April 2008,"November 14, 2017",Canada
